"","X","Y","Count"
"1640",-3,30,4
"1641",2,30,4
"1642",9,30,6
"1643",10,30,2
"1644",17,30,20
"1645",18,30,85
"1646",19,30,52
"1647",20,30,126
"1648",28,30,1
"1649",29,30,9
"1650",30,30,58
"1651",31,30,2999
"1652",32,30,137
"1653",33,30,13
"1654",34,30,11
"1655",-10,31,3
"1656",-9,31,31
"1657",-5,31,1
"1658",-3,31,7
"1659",-2,31,1
"1660",2,31,1
"1661",3,31,1
"1662",5,31,47
"1663",6,31,6
"1664",9,31,2
"1665",10,31,25
"1666",11,31,7
"1667",12,31,61
"1668",13,31,35
"1669",14,31,11
"1670",15,31,2
"1671",16,31,171
"1672",17,31,10
"1673",19,31,5
"1674",20,31,8
"1675",24,31,1
"1676",25,31,12
"1677",27,31,17
"1678",29,31,490
"1679",30,31,199
"1680",31,31,251
"1681",32,31,120
"1682",33,31,619
"1683",34,31,659
"1684",-10,32,4
"1685",-9,32,1
"1686",-8,32,2
"1687",-7,32,7
"1688",-6,32,4
"1689",-5,32,2
"1690",-3,32,1
"1691",0,32,1
"1692",3,32,116
"1693",4,32,5
"1694",8,32,1
"1695",10,32,48
"1696",11,32,39
"1697",12,32,324
"1698",13,32,1034
"1699",14,32,79
"1700",15,32,177
"1701",20,32,1272
"1702",21,32,55
"1703",22,32,235
"1704",23,32,53
"1705",-8,33,108
"1706",-7,33,3
"1707",-6,33,13
"1708",-5,33,2
"1709",-1,33,1
"1710",1,33,10
"1711",2,33,18
"1712",3,33,1
"1713",5,33,4
"1714",6,33,26
"1715",7,33,1
"1716",8,33,63
"1717",9,33,28
"1718",10,33,93
"1719",11,33,97
"1720",-7,34,289
"1721",-6,34,3
"1722",-5,34,44
"1723",-4,34,1
"1724",-3,34,11
"1725",-2,34,40
"1726",-1,34,12
"1727",0,34,9
"1728",1,34,1
"1729",2,34,5
"1730",3,34,29
"1731",4,34,7
"1732",5,34,25
"1733",6,34,9
"1734",7,34,7
"1735",8,34,106
"1736",9,34,37
"1737",10,34,75
"1738",11,34,43
"1739",-7,35,3
"1740",-6,35,63
"1741",-5,35,7
"1742",-4,35,21
"1743",-3,35,28
"1744",-2,35,8
"1745",-1,35,82
"1746",0,35,81
"1747",1,35,71
"1748",2,35,18
"1749",3,35,9
"1750",4,35,22
"1751",5,35,16
"1752",6,35,74
"1753",7,35,39
"1754",8,35,263
"1755",9,35,144
"1756",10,35,90
"1757",11,35,11
"1758",0,36,8
"1759",1,36,147
"1760",2,36,227
"1761",3,36,1196
"1762",4,36,524
"1763",5,36,187
"1764",6,36,154
"1765",7,36,85
"1766",8,36,128
"1767",9,36,43
"1768",10,36,761
"1769",11,36,3
"1770",6,37,13
"1771",7,37,1
"1772",9,37,23
